"Element","Area","Type","Control System Name","Sector","Sector Location","Keyword","SumL (m)","Linac Z (m)","Beampath"
"TCAV0","DL1","MAD","TCAV:IN20:490","S20","VAULT","LCAV","11.14748883","2027.039781","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"XC06","DL1","MAD","XCOR:IN20:491","S20","VAULT","XCOR","11.14748883","2027.039781","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"YC06","DL1","MAD","YCOR:IN20:492","S20","VAULT","YCOR","11.14748883","2027.039781","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"BPM8","DL1","MAD","BPMS:IN20:511","S20","VAULT","BPM","11.57124013","2027.386897","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"QE03","DL1","MAD","QUAD:IN20:511","S20","VAULT","QUAD","11.57124013","2027.386897","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"XC07","DL1","MAD","XCOR:IN20:521","S20","VAULT","XCOR","11.78714113","2027.563753","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"YC07","DL1","MAD","YCOR:IN20:522","S20","S20","YCOR","11.78714113","2027.563753","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"BPM9","DL1","MAD","BPMS:IN20:525","S20","S20","BPM","11.97764013","2027.719801","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"QE04","DL1","MAD","QUAD:IN20:525","S20","S20","QUAD","11.97764013","2027.719801","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"WS01","DL1","MAD","WIRE:IN20:531","S20","S20","WIRE","12.17532813","2027.881737","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"OTR1","DL1","MAD","OTRS:IN20:541","S20","S20","PROF","12.32729613","2028.006222","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"RST1","DL1","MAD","STPR:IN20:551","S20","S20","INST","13.84125473","2029.246385","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"WS02","DL1","MAD","WIRE:IN20:561","S20","S20","WIRE","14.08905713","2029.449372","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"OTR2","DL1","MAD","OTRS:IN20:571","S20","S20","PROF","14.24102513","2029.573857","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"BPM10","DL1","MAD","BPMS:IN20:581","S20","S20","BPM","14.40485583","2029.70806","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"WS03","DL1","MAD","WIRE:IN20:611","S20","S20","WIRE","16.00278613","2031.017007","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"OTR3","DL1","MAD","OTRS:IN20:621","S20","S20","PROF","16.15475413","2031.141492","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"BPM11","DL1","MAD","BPMS:IN20:631","S20","S20","BPM","16.35955983","2031.309259","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"QM01","DL1","MAD","QUAD:IN20:631","S20","S20","QUAD","16.35955983","2031.309259","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"XC08","DL1","MAD","XCOR:IN20:641","S20","S20","XCOR","16.56143193","2031.474623","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"YC08","DL1","MAD","YCOR:IN20:642","S20","S20","YCOR","16.56143193","2031.474623","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"BPM12","DL1","MAD","BPMS:IN20:651","S20","S20","BPM","16.91538193","2031.764562","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"QM02","DL1","MAD","QUAD:IN20:651","S20","VAULT","QUAD","16.91538193","2031.764562","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"BX01","DL1","MAD","BEND:IN20:661","S20","S20","BEND","17.29482793","2032.07952","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"OTR4","DL1","MAD","OTRS:IN20:711","S20","S20","PROF","17.79652338","2032.555281","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"XC09","DL1","MAD","XCOR:IN20:721","S20","S20","XCOR","17.95752338","2032.708829","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"YC09","DL1","MAD","YCOR:IN20:722","S20","S20","YCOR","17.95752338","2032.708829","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"BPM13","DL1","MAD","BPMS:IN20:731","S20","S20","BPM","18.17662338","2032.917788","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"QB","DL1","MAD","QUAD:IN20:731","S20","S20","QUAD","18.17662338","2032.917788","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"WS04","DL1","MAD","WIRE:IN20:741","S20","S20","WIRE","18.51862338","2033.24396","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"BX02","DL1","MAD","BEND:IN20:751","S20","S20","BEND","19.05841883","2033.760731","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"XC10","DL1","MAD","XCOR:IN20:761","S20","S20","XCOR","19.38171588","2034.083632","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"YC10","DL1","MAD","YCOR:IN20:762","S20","S20","YCOR","19.38171588","2034.083632","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"BPM14","DL1","MAD","BPMS:IN20:771","S20","S20","BPM","19.57639888","2034.278315","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"QM03","DL1","MAD","QUAD:IN20:771","S20","VAULT","QUAD","19.57639888","2034.278315","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"BPM15","DL1","MAD","BPMS:IN20:781","S20","S20","BPM","19.98156588","2034.683482","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"QM04","DL1","MAD","QUAD:IN20:781","S20","S20","QUAD","19.98156588","2034.683482","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"IM03","DL1","MAD","TORO:IN20:791","S20","HOUSING","IMON","20.17576588","2034.877682","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"XC21101","L1","MAD","XCOR:LI21:101","S21","S20","XCOR","20.78664588","2035.488562","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"YC21102","L1","MAD","YCOR:LI21:102","S21","","YCOR","20.78664588","2035.488562","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"K21_1B","L1","MAD","KLYS:LI21:11","S21","","LCAV","21.76781388","2036.46973","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"BPMA11","L1","MAD","BPMS:LI21:131","S21","","BPM","23.29328388","2037.9952","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"QA11","L1","MAD","QUAD:LI21:131","S21","","QUAD","23.29328388","2037.9952","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"XC21135","L1","MAD","XCOR:LI21:135","S21","","XCOR","23.83075968","2038.532676","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"YC21136","L1","MAD","YCOR:LI21:136","S21","","YCOR","23.83075968","2038.532676","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"K21_1C","L1","MAD","KLYS:LI21:11","S21","","LCAV","24.81191388","2039.51383","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"BPMA12","L1","MAD","BPMS:LI21:161","S21","","BPM","26.33396388","2041.03588","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"QA12","L1","MAD","QUAD:LI21:161","S21","","QUAD","26.33396388","2041.03588","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"XC21165","L1","MAD","XCOR:LI21:165","S21","","XCOR","26.79074868","2041.492665","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"YC21166","L1","MAD","YCOR:LI21:166","S21","","YCOR","26.79074868","2041.492665","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"K21_1D","L1","MAD","KLYS:LI21:11","S21","","LCAV","27.94346388","2042.64538","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"YC21174","L1","MAD","YCOR:LI21:203","S21","","YCOR","28.79798688","2043.499903","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"XC21175","L1","MAD","XCOR:LI21:202","S21","","XCOR","29.08555848","2043.787475","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"L1X___","BC1","MAD","ACCL:LI21:180","S21","","LCAV","30.05628288","2044.758199","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"XC21191","BC1","MAD","XCOR:LI21:191","S21","","XCOR","30.05628288","2044.758199","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"YC21192","BC1","MAD","YCOR:LI21:192","S21","","YCOR","30.05628288","2044.758199","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"BPM21201","BC1","MAD","BPMS:LI21:201","S21","","BPM","30.73209288","2045.434009","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"Q21201","BC1","MAD","QUAD:LI21:201","S21","","QUAD","30.73209288","2045.434009","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"IMBC1I","BC1","MAD","TORO:LI21:205","S21","","IMON","30.87149988","2045.573416","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"QM11","BC1","MAD","QUAD:LI21:211","S21","","QUAD","31.20438288","2045.906299","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"BX11","BC1","MAD","BEND:LI21:215","S21","HOUSING","BEND","31.48781569","2046.1897","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"CQ11","BC1","MAD","QUAD:LI21:221","S21","","QUAD","31.88934402","2046.589878","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"BX12","BC1","MAD","BEND:LI21:231","S21","","BEND","34.13555366","2048.8278","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"BPMS11","BC1","MAD","BPMS:LI21:233","S21","","BPM","34.48582547","2049.17804","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"CE11","BC1","MAD","COLL:LI21:235","S21","","COLL","34.65028547","2049.3425","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"OTR11","BC1","MAD","OTRS:LI21:237","S21","","PROF","34.83289147","2049.525106","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"BX13","BC1","MAD","BEND:LI21:241","S21","","BEND","35.16901728","2049.8612","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"SQ13","BC1","MAD","QUAD:LI21:243","S21","HOUSING","QUAD","35.61312798","2050.3038","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"CQ12","BC1","MAD","QUAD:LI21:251","S21","","QUAD","37.41522692","2052.099122","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"BX14","BC1","MAD","BEND:LI21:261","S21","","BEND","37.81675526","2052.4993","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"BL11","BC1","MAD","BLEN:LI21:265","S21","","BLMO","38.08011206","2052.762625","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"QM12","BC1","MAD","QUAD:LI21:271","S21","","QUAD","38.29583706","2052.97835","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"IMBC1O","BC1","MAD","TORO:LI21:277","S21","","IMON","38.73082581","2053.413339","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"BPMM12","BC1","MAD","BPMS:LI21:278","S21","","BPM","38.96661456","2053.649127","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"QM13","BC1","MAD","QUAD:LI21:278","S21","","QUAD","38.96661456","2053.649127","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"BL12","BC1","MAD","BLEN:LI21:280","S21","","BLMO","39.12108656","2053.803599","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"XC21275","BC1","MAD","XCOR:LI21:275","S21","","XCOR","39.32216056","2054.004673","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"YC21276","BC1","MAD","YCOR:LI21:276","S21","","YCOR","39.32216056","2054.004673","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"WS11","BC1","MAD","WIRE:LI21:285","S21","","WIRE","39.55716056","2054.239673","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"WS12","BC1","MAD","WIRE:LI21:293","S21","","WIRE","41.21335656","2055.895869","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"OTR12","BC1","MAD","OTRS:LI21:291","S21","","PROF","41.50835656","2056.190869","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"PH02","BC1","MAD","PCAV:LI21:300","S21","","INST","41.92368656","2056.606199","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"XC21302","BC1","MAD","XCOR:LI21:302","S21","","XCOR","42.22608756","2056.9086","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"YC21303","BC1","MAD","YCOR:LI21:303","S21","","YCOR","42.57218656","2057.254699","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"WS13","BC1","MAD","WIRE:LI21:301","S21","","WIRE","42.86955256","2057.552065","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"BPM21301","BC1","MAD","BPMS:LI21:301","S21","","BPM","43.17868256","2057.861195","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"Q21301","BC1","MAD","QUAD:LI21:301","S21","","QUAD","43.17868256","2057.861195","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"TD11","BC1","MAD","DUMP:LI21:305","S21","","INST","43.89306956","2058.575582","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"BPMM14","BC1","MAD","BPMS:LI21:315","S21","","BPM","44.33465656","2059.017169","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"QM14","BC1","MAD","QUAD:LI21:315","S21","","QUAD","44.33465656","2059.017169","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"XC21325","BC1","MAD","XCOR:LI21:325","S21","","XCOR","44.61478656","2059.297299","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"YC21325","BC1","MAD","YCOR:LI21:325","S21","","YCOR","44.61478656","2059.297299","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"QM15","BC1","MAD","QUAD:LI21:335","S21","","QUAD","44.89946656","2059.581979","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"K21_3B","L2","MAD","KLYS:LI21:31","S21","","LCAV","46.57243756","2061.25495","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"K21_3C","L2","MAD","KLYS:LI21:31","S21","","LCAV","49.61653756","2064.29905","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"K21_3D","L2","MAD","KLYS:LI21:31","S21","","LCAV","52.66063756","2067.34315","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"BPM21401","L2","MAD","BPMS:LI21:401","S21","","BPM","54.27028756","2068.9528","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"Q21401","L2","MAD","QUAD:LI21:401","S21","","QUAD","54.27028756","2068.9528","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"XC21402","L2","MAD","XCOR:LI21:402","S21","","XCOR","54.67748756","2069.36","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"YC21403","L2","MAD","YCOR:LI21:403","S21","","YCOR","55.04818756","2069.7307","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"K21_4A","L2","MAD","KLYS:LI21:41","S21","","LCAV","55.87273756","2070.55525","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"K21_4B","L2","MAD","KLYS:LI21:41","S21","","LCAV","58.91683756","2073.59935","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"K21_4C","L2","MAD","KLYS:LI21:41","S21","","LCAV","61.96093756","2076.64345","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"K21_4D","L2","MAD","KLYS:LI21:41","S21","","LCAV","65.00503756","2079.68755","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"BPM21501","L2","MAD","BPMS:LI21:501","S21","","BPM","66.61468756","2081.2972","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
"Q21501","L2","MAD","QUAD:LI21:501","S21","","QUAD","66.61468756","2081.2972","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
